SITE,HOLE,CORE,CORE_TYPE,SECTION,TOP_DEPTH,BOTTOM_DEPTH,Max (Diameter) (µm),Elongation,Age (Ma),Min (Diameter) (µm),Shape Factor,Sphericity
925,B,3,H,1,115,116,648.9424021,1.437448043,0.434964029,142.4483673,0.813617612,0.664793167
925,B,3,H,2,54,56,573.5567167,1.438403824,0.458446043,134.9830162,0.826044508,0.696707721
925,B,3,H,2,94,96,645.1886757,1.412250493,0.469669065,162.7583974,0.831385498,0.723345166
925,B,3,H,2,121,123,511.9341432,1.480689592,0.477352941,132.3851243,0.809737692,0.690826363
925,B,3,H,2,125,127,587.7012332,1.454151837,0.478529412,135.8205611,0.812144036,0.691024952
925,B,3,H,2,128,130,530.0541517,1.438561229,0.479411765,147.2449273,0.816431976,0.679708895
925,B,3,H,2,142,144,530.6819773,1.421527557,0.483529412,140.5169495,0.789447797,0.666446631
925,B,3,H,2,144,146,484.5191777,1.412286488,0.484117647,152.8775405,0.818061007,0.682961551
925,B,3,H,3,17,19,529.8672016,1.410290646,0.492126437,145.0721074,0.78550028,0.678101825
925,B,3,H,3,27,29,509.2989257,1.409903128,0.495689655,144.5048569,0.808094228,0.672289813
925,B,3,H,3,34,36,439.7292151,1.411018515,0.498183908,135.8205611,0.802805624,0.672608675
925,B,3,H,3,44,46,461.3186749,1.400430481,0.501747126,143.3892275,0.787163276,0.672352529
925,B,3,H,3,52,54,481.0324283,1.409115692,0.504597701,135.4570525,0.793142482,0.678386426
925,B,3,H,3,60,62,516.5522618,1.437447501,0.507448276,136.8140609,0.801242307,0.668853806
925,B,3,H,3,76,78,509.7556296,1.416831471,0.513149425,151.9967742,0.806397745,0.675251437
925,B,3,H,3,89,91,495.3544533,1.412549802,0.517315789,139.3500906,0.778398956,0.673458223
925,B,3,H,3,104,106,463.6263818,1.414183422,0.521263158,134.2237902,0.807556574,0.676828886
925,B,10,H,1,68,70,466.1023357,1.343423089,2.719327273,158.2235281,0.807810369,0.697309013
925,B,10,H,1,120,122,504.3649878,1.363771487,2.734454545,154.3876818,0.797175932,0.689038101
925,B,10,H,2,20,22,497.3593939,1.371474541,2.749,154.3126915,0.789044374,0.6784703
925,B,10,H,2,69,71,470.0536041,1.355147627,2.763254545,155.3825993,0.805328588,0.693094132
925,B,10,H,2,103,105,469.3027276,1.353523715,2.775181818,151.6202941,0.793412823,0.694725589
925,B,10,H,2,133,135,435.8663209,1.359827536,2.785958333,152.0144332,0.810982259,0.69290235
925,B,10,H,3,24,26,476.2502459,1.335475013,2.799055556,154.4281399,0.807929808,0.701310919
925,B,10,H,3,59,61,478.9778511,1.345215111,2.810847458,153.2870997,0.813434792,0.700857444
925,B,10,H,3,95,97,474.1504869,1.354204578,2.825491525,155.167687,0.811449708,0.6904377
925,B,10,H,3,145,147,481.4447151,1.352957636,2.8405,154.7598446,0.809757983,0.695302904
925,B,10,H,4,45,47,440.1017875,1.339471806,2.853,152.6036903,0.81777935,0.707109222
925,B,10,H,4,94,96,429.9647504,1.356820094,2.869333333,147.1421962,0.786892169,0.69021684
925,B,10,H,4,142,144,411.4468451,1.343381927,2.88426087,152.209086,0.814214911,0.703173444
925,B,11,H,2,67,69,473.4223708,1.343982015,3.176,152.7859563,0.810641695,0.712493048
925,B,11,H,2,120,122,525.94876,1.35240019,3.194454545,160.8508,0.811317311,0.706501973
925,B,11,H,3,39,41,491.5191115,1.353811646,3.219545455,158.1977079,0.810463009,0.696314138
925,B,11,H,3,71,73,482.0476925,1.34993818,3.229689655,155.42493,0.816182471,0.704662308
925,B,11,H,3,112,114,479.114849,1.347709302,3.241417582,154.4451975,0.814118402,0.704968354
925,B,11,H,4,31,33,478.9376816,1.353670152,3.256582418,153.4525508,0.807011161,0.708313545
